geodatabase,layer,status,error,crs,epsg,geometry_types,bbox,obb_bbox,feature_count,has_geometry,field_count,field_names,field_types,first_word,memory_mb,has_z
D:\NEOM_PROJECT\Flying Fish Study\Gulf of Aqaba (Magna)\FFT_GIS_NEOM1000_HabitatPatchLayerMagna_V1_20250417.gdb,enSuperFine_HabitatsMagna_P,success,,EPSG:32636,32636,Point,"[np.float64(653873.0858001709), np.float64(3108378.858300209), np.float64(683844.8256001472), np.float64(3225942.9078998566)]","[(653547.8410176532, 3108624.2593476363), (683058.6379904414, 3226140.336544079), (693440.0334549083, 3223533.3464121204), (663929.2364821202, 3106017.269215678), (653547.8410176532, 3108624.2593476363)]",16488205,TRUE,5,"Habitat, Seabed_Depth, Timestamp, Mission_Class, geometry","Habitat:object, Seabed_Depth:float64, Timestamp:datetime64[ms, UTC], Mission_Class:object, geometry:geometry",enSuperFine_HabitatsMagna,2347.342,FALSE
D:\NEOM_PROJECT\Flying Fish Study\Gulf of Aqaba (Magna)\FFT_GIS_NEOM1000_ImageTransectDataMagna_V2_20250508.gdb,enImageLevel_DataMagnaP,success,,EPSG:32636,32636,Point,"[np.float64(653875.6971998215), np.float64(3108030.593800068), np.float64(683841.5528001785), np.float64(3225942.3821997643)]","[(653462.9516694852, 3108273.4592183675), (683061.273855721, 3226138.3263427494), (693436.4257550028, 3223532.9096786897), (663838.103568767, 3105668.042554308), (653462.9516694852, 3108273.4592183675)]",1179519,TRUE,16,"Unique_Image_ID, Seabed_Depth, Timestamp, Mission_Class, Anthias___female, Anthias___male, Fusiliers, Giant_clam, Maldives_damselfish, Other_Fish, Parrotfish, Sergeant_fish, Coral_reef, Seagrass_habitat, Sandy_areas, geometry","Unique_Image_ID:object, Seabed_Depth:float64, Timestamp:datetime64[ms, UTC], Mission_Class:object, Anthias___female:float64, Anthias___male:float64, Fusiliers:float64, Giant_clam:float64, Maldives_damselfish:float64, Other_Fish:float64, Parrotfish:float64, Sergeant_fish:float64, Coral_reef:float64, Seagrass_habitat:float64, Sandy_areas:float64, geometry:geometry",enImageLevel_DataMagnaP,283.231,FALSE
D:\NEOM_PROJECT\Flying Fish Study\Gulf of Aqaba (Magna)\FFT_GIS_NEOM1000_ImageTransectDataMagna_V2_20250508.gdb,enIncidental_SightingsMagnaP,success,,EPSG:3857,3857,Point,"[np.float64(3848274.7217000015), np.float64(3260840.3115000017), np.float64(3880521.7518000007), np.float64(3376962.151100002)]","[(3848265.331275158, 3260886.7913850206), (3880092.5570734465, 3377079.7136075306), (3890038.519922787, 3374355.3445162764), (3858211.294124499, 3258162.4222937664), (3848265.331275158, 3260886.7913850206)]",53,TRUE,6,"ObsClass, ObsNumber, Lat, Long, Observation, geometry","ObsClass:object, ObsNumber:float64, Lat:float64, Long:float64, Observation:object, geometry:geometry",enIncidental_SightingsMagnaP,0.008,FALSE
D:\NEOM_PROJECT\Flying Fish Study\Gulf of Aqaba (Magna)\FFT_GIS_NEOM1000_ImageTransectDataMagna_V2_20250508.gdb,enTransect_LocationsMagnaP,success,,EPSG:32636,32636,Point,"[np.float64(653941.0602998734), np.float64(3108410.6605000496), np.float64(683832.7803001404), np.float64(3225930.60890007)]","[(653604.4093521236, 3108651.2762029096), (683057.6778023557, 3226124.944466401), (693408.7441636659, 3223529.7012884957), (663955.4757134337, 3106056.033025005), (653604.4093521236, 3108651.2762029096)]",5341,TRUE,33,"transect_id, Rugosity_25m, Rugosity_4m_Max, Seabed_Depth_Average, Seabed_Depth_Range, Mission_Class, Anthias___female, Anthias___male, Fusiliers, Giant_clam, Maldives_damselfish, Other_Fish, Parrotfish, Sergeant_fish, Coral_reef, Seagrass_habitat, Sandy_areas, Acropora__branching_, Acropora__tabulate_, All_other, Millepora, Montipora, Pavement, Pocillopora, Porites, Sand, Shadow, Sinularia, Turf_algae, Benthic_Analysis_N, DomHabitat, Owner, geometry","transect_id:float64, Rugosity_25m:float64, Rugosity_4m_Max:float64, Seabed_Depth_Average:float64, Seabed_Depth_Range:float64, Mission_Class:object, Anthias___female:float64, Anthias___male:float64, Fusiliers:float64, Giant_clam:float64, Maldives_damselfish:float64, Other_Fish:float64, Parrotfish:float64, Sergeant_fish:float64, Coral_reef:float64, Seagrass_habitat:float64, Sandy_areas:float64, Acropora__branching_:float64, Acropora__tabulate_:float64, All_other:float64, Millepora:float64, Montipora:float64, Pavement:float64, Pocillopora:float64, Porites:float64, Sand:float64, Shadow:float64, Sinularia:float64, Turf_algae:float64, Benthic_Analysis_N:float64, DomHabitat:object, Owner:object, geometry:geometry",enTransect_LocationsMagnaP,2.135,FALSE
D:\NEOM_PROJECT\Flying Fish Study\Gulf of Aqaba (Magna)\FFT_GIS_NEOM1000_ImageTransectDataMagna_V2_20250508.gdb,enTransectLevel_DataMagnaL,success,,EPSG:32636,32636,MultiLineString,"[np.float64(653933.4341001511), np.float64(3108379.5873999596), np.float64(683838.4987001419), np.float64(3225938.283299923)]","[(653590.7651410183, 3108620.3108732463), (683059.8349616589, 3226133.5507776607), (693414.1172362322, 3223536.9832140855), (663945.0474155915, 3106023.7433096715), (653590.7651410183, 3108620.3108732463)]",5342,TRUE,4,"transect_id, Mission_Class, SHAPE_Length, geometry","transect_id:float64, Mission_Class:object, SHAPE_Length:float64, geometry:geometry",enTransectLevel_DataMagnaL,0.458,FALSE
D:\NEOM_PROJECT\KBD Coral Restoration Data\83393_20251006_Submission\NEOM_TREP_Coral_Restoration_KBD_83393.gdb,NEOM_Coral_Survey_Points,success,,EPSG:32636,32636,Point,"[np.float64(661969.2033000002), np.float64(3057788.0713), np.float64(748011.0175000001), np.float64(3110627.4619999994)]","[(748011.0175000001, 3057788.0713), (661434.776552103, 3102008.56303766), (672902.804950592, 3124461.02228275), (759479.0458074172, 3080240.5305241942), (748011.0175000001, 3057788.0713)]",111,TRUE,20,"Name, Date_, Surveyor, Category, Sub_Category, Period, Combined, AreaName, Author, Source, Project_Re, BDC_Projec, CreationDate, Creator, EditDate, Editor, Document_Number, DocumentTitle, ReportDate, geometry","Name:object, Date_:datetime64[ms, UTC], Surveyor:object, Category:object, Sub_Category:object, Period:object, Combined:object, AreaName:object, Author:object, Source:object, Project_Re:object, BDC_Projec:object, CreationDate:datetime64[ms, UTC], Creator:object, EditDate:datetime64[ms, UTC], Editor:object, Document_Number:object, DocumentTitle:object, ReportDate:datetime64[ms, UTC], geometry:geometry",NEOM_Coral,0.132,FALSE
D:\NEOM_PROJECT\KBD Coral Restoration Data\83393_20251006_Submission\NEOM_TREP_Coral_Restoration_KBD_83393.gdb,NEOM_Coral_Survey_Transects,success,,EPSG:32636,32636,MultiLineString,"[np.float64(667304.9928000001), np.float64(3090640.8879000004), np.float64(689116.8491000002), np.float64(3104850.2053999994)]","[(687975.9472869388, 3089813.566673559), (667026.6292247074, 3103922.296968838), (669033.1383128318, 3106901.6577041843), (689982.4563750632, 3092792.9274089052), (687975.9472869388, 3089813.566673559)]",31,TRUE,21,"Name, Date_, Surveyor, Category, Sub_Category, Period, Combined, AreaName, Author, Project_Re, BDC_Projec, CreationDate, Creator, EditDate, Editor, Document_Number, DocumentTitle, ReportDate, Source, Shape_Length, geometry","Name:object, Date_:datetime64[ms, UTC], Surveyor:object, Category:object, Sub_Category:object, Period:object, Combined:object, AreaName:object, Author:object, Project_Re:object, BDC_Projec:object, CreationDate:datetime64[ms, UTC], Creator:object, EditDate:datetime64[ms, UTC], Editor:object, Document_Number:object, DocumentTitle:object, ReportDate:datetime64[ms, UTC], Source:object, Shape_Length:float64, geometry:geometry",NEOM_Coral,0.036,FALSE
D:\NEOM_PROJECT\KBD Coral Restoration Data\83393_20251006_Submission\NEOM_TREP_Coral_Restoration_KBD_83393.gdb,Shushah_Island_Reefscape_Boundary,success,,EPSG:32636,32636,MultiPolygon,"[np.float64(687694.1529000001), np.float64(3091106.8830999993), np.float64(689372.0799000002), np.float64(3092712.5447000004)]","[(687674.057265683, 3092265.3238007785), (689128.8399314216, 3092742.3089384316), (689576.5280965653, 3091376.880686359), (688121.7454308268, 3090899.895548706), (687674.057265683, 3092265.3238007785)]",1,TRUE,16,"Name, AreaName, Author, Source, Project_Re, BDC_Projec, CreationDate, Creator, EditDate, Editor, Document_Number, DocumentTitle, ReportDate, Shape_Length, Shape_Area, geometry","Name:object, AreaName:object, Author:object, Source:object, Project_Re:object, BDC_Projec:object, CreationDate:datetime64[ms, UTC], Creator:object, EditDate:datetime64[ms, UTC], Editor:object, Document_Number:object, DocumentTitle:object, ReportDate:datetime64[ms, UTC], Shape_Length:float64, Shape_Area:float64, geometry:geometry",Shushah_Island,0.001,TRUE
D:\NEOM_PROJECT\KBD Coral Restoration Data\83393_20251006_Submission\NEOM_TREP_Coral_Restoration_KBD_83393.gdb,NEOM_Coral_Reef_Clusters,success,,EPSG:32636,32636,MultiPolygon,"[np.float64(645902.8507000003), np.float64(3026856.7794000003), np.float64(756151.0322000002), np.float64(3225614.0238000005)]","[(683377.3715000004, 3225614.0238000005), (758650.5534883409, 3034713.8821130483), (679888.6400062381, 3003657.541331443), (604615.4579329027, 3194557.682857239), (683377.3715000004, 3225614.0238000005)]",19,TRUE,23,"Name, Label, Category, Human_T, Climat_Th, Health, Human_Climate, Human_Climate_Threat, AreaName, Author, Source, Project_Re, BDC_Projec, CreationDate, Creator, EditDate, Editor, Document_Number, DocumentTitle, ReportDate, Shape_Length, Shape_Area, geometry","Name:object, Label:object, Category:object, Human_T:float64, Climat_Th:float64, Health:float64, Human_Climate:float64, Human_Climate_Threat:float64, AreaName:object, Author:object, Source:object, Project_Re:object, BDC_Projec:object, CreationDate:datetime64[ms, UTC], Creator:object, EditDate:datetime64[ms, UTC], Editor:object, Document_Number:object, DocumentTitle:object, ReportDate:datetime64[ms, UTC], Shape_Length:float64, Shape_Area:float64, geometry:geometry",NEOM_Coral,0.019,TRUE
D:\NEOM_PROJECT\KBD Coral Restoration Data\83393_20251006_Submission\NEOM_TREP_Coral_Restoration_KBD_83393.gdb,NEOM_Coral_Species_Richness,success,,EPSG:32636,32636,Point,"[np.float64(666591.9725000001), np.float64(3057788.0713), np.float64(748011.0175000001), np.float64(3110627.4619999994)]","[(748011.0175000001, 3057788.0713), (666591.9725000001, 3100675.1241999995), (677156.1086943195, 3120730.6379593923), (758575.1536941461, 3077843.5850592735), (748011.0175000001, 3057788.0713)]",23,TRUE,20,"Site, Longitude, Latitude, Location, DocRef, Name, SUM_Number, AreaName, Author, Source, Project_Re, BDC_Projec, CreationDate, Creator, EditDate, Editor, Document_Number, DocumentTitle, ReportDate, geometry","Site:object, Longitude:float64, Latitude:float64, Location:object, DocRef:object, Name:object, SUM_Number:float64, AreaName:object, Author:object, Source:object, Project_Re:object, BDC_Projec:object, CreationDate:datetime64[ms, UTC], Creator:object, EditDate:datetime64[ms, UTC], Editor:object, Document_Number:object, DocumentTitle:object, ReportDate:datetime64[ms, UTC], geometry:geometry",NEOM_Coral,0.026,FALSE
