image_path,file_name,file_extension,status,error,file_size_mb,created_time,modified_time,Species,activity,filename_tokens,image_format,color_mode,width_px,height_px,aspect_ratio,has_exif,camera_make,camera_model,datetime_original,gps_info
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Basemaps\AlFarsha.jpeg,AlFarsha.jpeg,.jpeg,success,,3.381,2025-12-15 14:22:00.760008,2025-10-31 10:48:32,Flora And Fauna,Survey,AlFarsha,JPEG,RGB,9538.0,5219.0,1.8276,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Basemaps\Level1.jpeg,Level1.jpeg,.jpeg,success,,6.365,2025-12-15 14:22:00.960884,2025-10-31 10:48:32,Flora And Fauna,Survey,Level1,JPEG,RGB,9544.0,5219.0,1.8287,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Basemaps\Level2.jpeg,Level2.jpeg,.jpeg,success,,4.983,2025-12-15 14:22:01.213049,2025-10-31 10:48:32,Flora And Fauna,Survey,Level2,JPEG,RGB,9544.0,5219.0,1.8287,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Basemaps\MaktalAli.jpeg,MaktalAli.jpeg,.jpeg,success,,3.725,2025-12-15 14:22:01.506780,2025-10-31 10:48:32,Flora And Fauna,Survey,MaktalAli,JPEG,RGB,9538.0,5213.0,1.8297,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Basemaps\Shusha.jpeg,Shusha.jpeg,.jpeg,success,,1.776,2025-12-15 14:22:01.725963,2025-10-31 10:48:32,Flora And Fauna,Survey,Shusha,JPEG,RGB,9544.0,5219.0,1.8287,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Basemaps\Sila.jpeg,Sila.jpeg,.jpeg,success,,2.72,2025-12-15 14:22:01.952551,2025-10-31 10:48:32,Flora And Fauna,Survey,Sila,JPEG,RGB,9544.0,5219.0,1.8287,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Basemaps\UmmShujayrat.jpeg,UmmShujayrat.jpeg,.jpeg,success,,2.121,2025-12-15 14:22:02.162620,2025-10-31 10:48:32,Flora And Fauna,Survey,UmmShujayrat,JPEG,RGB,9538.0,5213.0,1.8297,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Basemaps\Walih.jpeg,Walih.jpeg,.jpeg,success,,2.239,2025-12-15 14:22:03.036394,2025-10-31 10:48:32,Flora And Fauna,Survey,Walih,JPEG,RGB,9538.0,5219.0,1.8276,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Basemaps\Yuba.jpeg,Yuba.jpeg,.jpeg,success,,2.561,2025-12-15 14:22:03.745987,2025-10-31 10:48:32,Flora And Fauna,Survey,Yuba,JPEG,RGB,9538.0,5219.0,1.8276,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Maps\Al Farsha.jpeg,Al Farsha.jpeg,.jpeg,success,,0.629,2025-12-15 14:22:04.388883,2025-10-31 10:48:32,Flora And Fauna,Survey,Al Farsha,JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Maps\Al Farsha_Terrain.jpeg,Al Farsha_Terrain.jpeg,.jpeg,success,,0.76,2025-12-15 14:22:04.406183,2025-10-31 10:48:32,Flora And Fauna,Survey,"Al Farsha, Terrain",JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
