file_path,file_name,file_type,status,error,marine_mammals,sharks_rays,reptiles,fish,birds,invertebrates_habitat,survey_types,places,data_types,conservation
E:\locations_output.csv,locations_output.csv,csv,success,,"bottlenose, cetacean, dolphin, dugong, indo-pacific",,"green turtle, hawksbill, turtle",,"booby, falcon, gull, heron, osprey, reef heron, sooty falcon, sooty gull, tern, white-eyed gull","coral, seagrass","BRUV, aerial, assessment, baseline, boat survey, camera trap, drone, monitoring, nesting, observation, sighting, survey, tagging, transect","Al Wajh, Aqaba, Duba, Farasan, Gayal, Gulf of Aqaba, Haql, Jeddah, Magna, NEOM, Red Sea, Sanafir, Sharma, Sindalah, Tabuk, Thuwal, Tiran, Yanbu, bay, coast, island, lagoon, offshore, reef","abundance, breeding, coordinate, density, depth, feeding, habitat, measurement, migration","conservation, management, marine protected, pollution, protected, reserve, restoration, sanctuary"
E:\._locations_output.csv,._locations_output.csv,csv,success,,,,,,,,,,,
E:\gdb_layer_metadata.csv,gdb_layer_metadata.csv,csv,success,,"cetacean, dugong",,turtle,,,,"baseline, observation, sighting, survey",NEOM,"behaviour, habitat, latitude, longitude, track, weight","conservation, management"
E:\.Trashes\501\2025-04-30_KBD_NEOM_TREP_MEBS_NNR_Rev01 (1).pdf,2025-04-30_KBD_NEOM_TREP_MEBS_NNR_Rev01 (1).pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Flying Fish Study\Gulf of Aqaba (Magna)\FFT_GIS_NEOM1000_HabitatPatchLayerMagna_V1_20250417.gdb,FFT_GIS_NEOM1000_HabitatPatchLayerMagna_V1_20250417.gdb,geodatabase,success,,,,,,,"coral, seagrass",baseline,"Aqaba, Gulf of Aqaba, Magna, reef",habitat,
E:\Flying Fish Study\Gulf of Aqaba (Magna)\FFT_GIS_NEOM1000_ImageTransectDataMagna_V2_20250508.gdb,FFT_GIS_NEOM1000_ImageTransectDataMagna_V2_20250508.gdb,geodatabase,success,,,"ray, stingray","hawksbill, sea turtle, turtle","fusilier, parrotfish",,,"baseline, observation","Aqaba, Gulf of Aqaba, Magna",,
E:\Flying Fish Study\South and North Red sea (Nature Reserve)\Reports\2025-04-30_KBD_NEOM_TREP_MEBS_NNR_Rev01.pdf,2025-04-30_KBD_NEOM_TREP_MEBS_NNR_Rev01.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\KBD Coral Restoration Data\83393_20251006_Submission\NEOM_TREP_Coral_Restoration_KBD_83393.gdb,NEOM_TREP_Coral_Restoration_KBD_83393.gdb,geodatabase,success,,,,,,,"algae, coral, seagrass","impact, survey, transect","Duba, Gayal, NEOM, Sindalah, island, reef","latitude, longitude, substrate","conservation, impact, restoration"
E:\KBD Coral Restoration Data\83393_20251008_Submission\NEOM_TREP_Coral_Restoration_KBD_83393.gdb,NEOM_TREP_Coral_Restoration_KBD_83393.gdb,geodatabase,success,,,,,barracuda,,coral,,"Aqaba, Magna, NEOM, Sindalah, bay, island, reef",,"conservation, restoration"
E:\Marine Division\Long Term Monitoring Programs 2021 (Marine)\Birds and Turtles Surveys AECOM 04 NEOM FinalData GDB 20211209\Reports\Final_60658701_NEOMBirdsTurtles_2021-12-23.pdf,Final_60658701_NEOMBirdsTurtles_2021-12-23.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
