shapefile_path,layer_name,status,error,crs,epsg,geometry_types,bbox,obb_bbox,feature_count,has_geometry,has_timestamp,min_date,max_date,field_count,field_names,field_types,first_word,Species,activity,memory_mb,has_z
D:\NEOM_PROJECT\Marine_New_Data\04_83504_KBD_Turtle_Tag_Combined\KBD_Turtle_Tag_Core_Home_Range_Final_20240910.shp,KBD_Turtle_Tag_Core_Home_Range_Final_20240910,success,,EPSG:32636,32636.0,"MultiPolygon, Polygon","[np.float64(456835.66895636305), np.float64(2678342.99129514), np.float64(1005483.6051966185), np.float64(3308230.0285335337)]","[(588686.1719271496, 3385910.6349253273), (1006445.7051890469, 2680116.8131680517), (866814.0975725121, 2597468.8309877724), (449054.5643248652, 3303262.652720973)]",24.0,True,False,,,26.0,"id, area, isopleth, turtleid, MERGE_SRC, PTT_Code, Species, Field, Shape_Leng, Scale, PTT_Code_M, Category_1, Map_1, Core_UD, Field1, Area_ha, Area_Sq_km, Shape_Le_1, Shape_Area, Project_Re, BDC_Projec, Surveyor_N, Document_N, DocumentTi, ReportDate, geometry","id:object, area:float64, isopleth:float64, turtleid:object, MERGE_SRC:object, PTT_Code:int64, Species:object, Field:int64, Shape_Leng:float64, Scale:int64, PTT_Code_M:object, Category_1:object, Map_1:object, Core_UD:object, Field1:int64, Area_ha:float64, Area_Sq_km:float64, Shape_Le_1:float64, Shape_Area:float64, Project_Re:object, BDC_Projec:object, Surveyor_N:object, Document_N:object, DocumentTi:object, ReportDate:datetime64[ms], geometry:geometry",KBD_Turtle,,,0.026,False
D:\NEOM_PROJECT\Marine_New_Data\04_83504_KBD_Turtle_Tag_Combined\KBD_Turtle_Tag_Data_Final_20240910.shp,KBD_Turtle_Tag_Data_Final_20240910,failed,UnsupportedOperationException: ,,,,,,,,,,,,,,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\._2022-01_All_Sightings.shp,._2022-01_All_Sightings,failed,"'D:\NEOM_PROJECT\Marine_New_Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\._2022-01_All_Sightings.shp' not recognized as being in a supported file format.; It might help to specify the correct driver explicitly by prefixing the file path with '<DRIVER>:', e.g. 'CSV:path'.",,,,,,,,,,,,,,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\._Acoustics.shp,._Acoustics,failed,"'D:\NEOM_PROJECT\Marine_New_Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\._Acoustics.shp' not recognized as being in a supported file format.; It might help to specify the correct driver explicitly by prefixing the file path with '<DRIVER>:', e.g. 'CSV:path'.",,,,,,,,,,,,,,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\._Coastal Effort Merge.shp,._Coastal Effort Merge,failed,"'D:\NEOM_PROJECT\Marine_New_Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\._Coastal Effort Merge.shp' not recognized as being in a supported file format.; It might help to specify the correct driver explicitly by prefixing the file path with '<DRIVER>:', e.g. 'CSV:path'.",,,,,,,,,,,,,,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\._Merge_Transect Effort.shp,._Merge_Transect Effort,failed,"'D:\NEOM_PROJECT\Marine_New_Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\._Merge_Transect Effort.shp' not recognized as being in a supported file format.; It might help to specify the correct driver explicitly by prefixing the file path with '<DRIVER>:', e.g. 'CSV:path'.",,,,,,,,,,,,,,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\._otherwildlife.shp,._otherwildlife,failed,"'D:\NEOM_PROJECT\Marine_New_Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\._otherwildlife.shp' not recognized as being in a supported file format.; It might help to specify the correct driver explicitly by prefixing the file path with '<DRIVER>:', e.g. 'CSV:path'.",,,,,,,,,,,,,,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\._Transect Effort Merge.shp,._Transect Effort Merge,failed,"'D:\NEOM_PROJECT\Marine_New_Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\._Transect Effort Merge.shp' not recognized as being in a supported file format.; It might help to specify the correct driver explicitly by prefixing the file path with '<DRIVER>:', e.g. 'CSV:path'.",,,,,,,,,,,,,,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\2022-01_All_Sightings.shp,2022-01_All_Sightings,failed,'<' not supported between instances of 'NoneType' and 'str',EPSG:32636,32636.0,,,,,,,,,,,,,,,,
D:\NEOM_PROJECT\Marine_New_Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\Acoustics.shp,Acoustics,success,,EPSG:32636,32636.0,Point,"[np.float64(-2720.2668188001844), np.float64(3043526.724320598), np.float64(736005.9560003831), np.float64(3909409.4219766897)]","[(14169.015866441543, 3923775.4162728637), (751614.1865882697, 3056803.0580786224), (715826.1877472154, 3026361.848891627), (-21618.98297461273, 3893334.2070858683)]",37.0,True,False,,,12.0,"Date, Time, Latitude, Longitude, Effort_Cod, Cetaceans_, Proximity, Vessels_y_, Seismic_y_, Other_sour, Notes, geometry","Date:object, Time:datetime64[ms], Latitude:float64, Longitude:float64, Effort_Cod:object, Cetaceans_:object, Proximity:object, Vessels_y_:object, Seismic_y_:object, Other_sour:object, Notes:object, geometry:geometry",Acoustics,,Survey,0.017,False
